150.40,160.91,85.17,161.00
148.85,158.43,88.40,165.60
154.17,159.94,86.30,162.20
154.77,159.96,86.20,161.80
154.92,160.03,86.03,161.30
155.00,160.00,86.00,161.00
154.86,160.03,86.00,161.07
154.65,159.92,86.13,161.40
153.22,156.93,88.70,167.50
153.95,157.08,88.60,167.33
155.14,159.80,86.33,162.00
155.17,159.77,86.40,162.20
155.43,160.19,86.00,161.47
154.89,159.52,87.20,162.93
162.12,159.20,87.40,163.70
161.82,158.61,88.00,165.00
161.82,158.62,88.00,165.10
160.90,157.43,88.60,167.60
160.87,157.51,88.57,167.57
160.83,157.59,88.53,167.53
160.80,157.66,88.50,167.50
161.00,158.67,88.00,165.60
160.95,158.69,88.00,165.70
161.50,163.68,86.80,163.40
161.49,163.97,86.73,163.37
161.81,161.17,86.00,161.33
163.21,163.40,83.10,157.00
156.62,162.53,84.33,158.87
157.25,163.77,83.00,156.53
157.11,163.50,83.20,157.20
156.93,163.33,83.50,157.67
156.94,163.47,83.40,157.53
156.96,163.60,83.30,157.40
156.90,163.63,83.33,157.47
156.95,163.82,83.17,157.23
157.00,164.00,83.00,157.00
159.11,166.17,82.50,156.10
161.21,168.67,82.00,155.20
163.32,170.52,81.50,154.30
164.29,171.51,83.27,157.07
166.37,172.90,82.83,156.33
168.54,176.31,82.20,155.00
170.36,176.63,82.27,155.77
172.48,178.86,81.73,154.73
175.41,175.08,79.60,150.10
180.05,176.97,78.00,148.00
181.77,177.29,78.67,149.07
184.56,175.58,77.20,146.60
185.99,174.82,76.47,145.23
188.80,174.68,74.80,142.00
193.15,175.16,74.50,141.50
211.30,182.27,72.67,137.40
216.97,180.29,72.40,137.50
235.44,183.52,69.40,131.80
239.91,177.73,70.43,133.40
247.82,174.23,71.00,134.67
251.78,171.27,70.50,134.10
265.46,185.80,68.73,129.67
281.73,165.55,66.70,127.00
282.47,163.28,68.20,129.80
292.55,167.11,67.17,127.83
297.74,167.38,66.13,125.87
302.38,162.59,66.20,126.00
307.59,162.73,65.13,124.00
312.79,162.86,64.07,122.00
318.00,163.00,63.00,120.00
317.82,163.17,63.07,119.87
317.65,163.33,63.13,119.73
317.02,162.60,64.10,121.40
317.30,163.67,63.27,119.47
316.71,163.00,64.17,121.00
316.55,163.20,64.20,120.80
316.77,164.17,63.47,119.07
316.73,164.60,63.27,118.40
316.22,164.10,64.00,119.60
317.54,164.33,64.00,119.33
317.54,164.57,64.00,119.07
317.55,164.80,64.00,118.80
317.55,165.03,64.00,118.53
317.56,165.27,64.00,118.27
317.56,165.50,64.00,118.00
317.56,165.73,64.00,117.73
317.57,165.97,64.00,117.47
322.51,167.20,63.00,115.20
322.51,167.43,63.00,114.93
322.18,167.00,63.67,116.00
322.16,167.20,63.70,115.80
322.14,167.40,63.73,115.60
322.12,167.60,63.77,115.40
322.11,167.80,63.80,115.20
322.92,169.67,62.17,111.67
322.61,168.07,64.00,115.07
322.00,168.30,64.00,114.80
322.00,168.53,64.00,114.53
322.00,168.77,64.00,114.27
322.00,169.00,64.00,114.00
321.83,168.75,64.13,114.30
321.65,168.50,64.27,114.60
321.48,168.25,64.40,114.90
321.50,168.33,64.13,114.53
321.38,168.17,64.17,114.67
321.05,167.70,64.60,115.40
320.45,168.25,63.93,114.10
319.39,170.23,61.33,109.93
316.58,167.50,64.30,115.20
316.45,167.33,64.33,115.33
313.17,166.62,65.10,116.57
314.19,165.80,65.80,118.00
313.54,164.77,67.00,119.87
314.19,165.80,65.60,117.60
314.19,165.75,65.50,117.50
314.66,166.40,64.47,116.00
314.56,166.17,64.57,116.27
318.38,165.10,65.80,118.20
318.73,165.47,65.00,117.27
317.94,165.33,65.00,117.33
317.86,165.20,65.00,117.40
314.00,165.33,64.73,116.93
314.20,165.93,64.00,115.53
314.05,165.80,64.00,115.60
318.01,166.50,63.17,114.00
318.09,166.53,63.00,113.73
317.68,165.60,63.80,115.40
322.05,165.33,63.93,115.73
322.01,165.13,64.00,115.93
322.00,165.00,64.00,116.00
322.03,165.12,63.77,115.83
322.03,165.13,63.60,115.87
322.05,165.20,63.40,115.80
322.13,165.47,63.07,115.33
322.16,165.58,62.83,115.17
322.19,165.70,62.60,115.00
322.23,165.82,62.37,114.83
322.26,165.93,62.13,114.67
322.29,166.05,61.90,114.50
322.32,166.17,61.67,114.33
322.35,166.28,61.43,114.17
322.39,166.40,61.20,114.00
322.42,166.52,60.97,113.83
322.45,166.63,60.73,113.67
322.23,166.00,61.00,115.00
321.79,167.40,59.73,112.27
318.90,165.70,61.03,115.73
316.05,165.20,61.60,116.80
316.30,165.27,61.20,116.73
316.44,165.33,61.00,116.67
316.59,165.40,60.80,116.60
316.47,165.07,61.13,117.33
316.53,164.95,61.10,117.63
316.33,164.30,61.60,119.00
316.59,164.58,61.17,118.50
316.76,164.67,60.93,118.40
318.45,165.80,59.60,116.20
318.63,165.87,59.40,116.13
318.78,165.88,59.27,116.17
319.00,166.00,59.00,116.00
319.03,165.87,59.17,116.20
319.06,165.73,59.33,116.40
319.14,165.70,59.40,116.40
319.19,165.60,59.53,116.53
319.23,165.50,59.67,116.67
320.08,167.40,58.20,112.80
319.71,166.07,59.17,115.40
321.73,166.20,59.07,115.07
321.74,166.10,59.20,115.20
321.76,166.00,59.33,115.33
321.59,165.53,59.83,116.20
321.09,164.40,61.00,118.40
321.30,164.70,60.73,117.73
321.81,165.60,59.87,115.87
321.58,165.00,60.50,117.00
321.31,164.33,61.20,118.27
321.29,164.17,61.40,118.53
321.37,164.20,61.40,118.40
321.38,164.10,61.53,118.53
321.39,164.00,61.67,118.67
321.41,163.90,61.80,118.80
321.56,164.07,61.67,118.40
321.17,163.17,62.60,120.13
